latitude,longtitude,depth,temperature,time
,,3.614,22.0,1712825732729
,,3.559,22.0,1712825732794
,,3.559,22.0,1712825732863
,,3.559,22.0,1712825732931
,,3.559,22.0,1712825733044
,,3.559,22.0,1712825733071
,,3.559,22.0,1712825733202
,,3.559,22.0,1712825733294
,,3.559,22.0,1712825733478
,,3.559,22.0,1712825733583
,,3.559,22.0,1712825733639
,,3.559,22.0,1712825733679
,,3.559,22.0,1712825733752
,,3.559,22.0,1712825733817
,,3.559,22.0,1712825733907
,,3.559,22.0,1712825733951
,,3.587,22.0,1712825734051
,,3.587,22.0,1712825734088
,,3.559,22.0,1712825734192
,,3.532,22.0,1712825734226
,,3.559,22.0,1712825734320
,,3.559,22.0,1712825734360
,,3.559,22.0,1712825734466
,,3.559,22.0,1712825734496
,,3.559,22.0,1712825734628
,,3.532,22.0,1712825734663
,,3.532,22.0,1712825734703
,,3.532,22.0,1712825734837
,,3.532,22.0,1712825734903
,,3.532,22.0,1712825734990
,,3.505,22.0,1712825735041
,,3.505,22.0,1712825735137
,,3.505,22.0,1712825735180
,,3.505,22.0,1712825735280
,,3.505,22.0,1712825735312
,,3.505,22.0,1712825735421
,,3.505,22.0,1712825735447
,,3.559,22.0,1712825735546
,,3.559,22.0,1712825735607
,,3.559,22.0,1712825735651
,,3.559,22.0,1712825735719
,,3.559,22.0,1712825735788
,,3.532,22.0,1712825735893
,,3.532,22.0,1712825735924
,,3.532,22.0,1712825736028
,,3.587,22.0,1712825736058
,,3.614,22.0,1712825736160
,,3.669,22.0,1712825736197
,,3.696,22.0,1712825736300
,,3.696,22.0,1712825736401
,,3.669,22.0,1712825736550
,,3.669,22.0,1712825736554
,,3.642,22.0,1712825736612
,,3.642,22.0,1712825736674
,,3.696,22.0,1712825736740
,,3.696,22.0,1712825736809
,,3.669,22.0,1712825736877
,,3.642,22.0,1712825736970
,,3.587,22.0,1712825737012
,,3.532,22.0,1712825737081
,,3.477,22.0,1712825737180
,,3.505,22.0,1712825737217
,,3.505,22.0,1712825737326
,,3.505,22.0,1712825737352
,,3.505,22.0,1712825737488
,,3.505,22.0,1712825737571
,,3.505,22.0,1712825737694
,,3.505,22.0,1712825737827
,,3.532,22.0,1712825737923
,,3.532,22.0,1712825737964
,,3.559,22.0,1712825738048
,,3.614,22.0,1712825738157
,,3.614,22.0,1712825738170
,,3.614,21.0,1712825738290
,,3.614,21.0,1712825738304
,,3.642,21.0,1712825738397
,,3.614,21.0,1712825738440
,,3.614,21.0,1712825738544
,,3.559,21.0,1712825738578
,,3.532,21.0,1712825738656
,,3.532,21.0,1712825738712
,,3.532,21.0,1712825738782
,,3.532,21.0,1712825739095
,,3.532,21.0,1712825739099
,,3.532,21.0,1712825739255
,,3.532,21.0,1712825739414
,,3.532,21.0,1712825739460
,,3.532,21.0,1712825739535
,,3.532,21.0,1712825739594
,,3.559,21.0,1712825739867
,,3.559,21.0,1712825740044
,,3.559,21.0,1712825740051
,,3.559,21.0,1712825740071
,,3.559,21.0,1712825740140
,,3.559,21.0,1712825740362
,,3.559,21.0,1712825740370
,,3.559,21.0,1712825740375
,,3.559,21.0,1712825740411
,,3.532,21.0,1712825740497
,,3.532,21.0,1712825740546
,,3.532,21.0,1712825740866
,,3.532,21.0,1712825741003
,,3.532,21.0,1712825741008
,,3.532,21.0,1712825741023
,,3.532,21.0,1712825741115
,,3.559,21.0,1712825741161
,,3.559,21.0,1712825741322
,,3.559,21.0,1712825741499
,,3.559,21.0,1712825741637
,,3.559,21.0,1712825741642
,,3.587,21.0,1712825742105
,,3.614,21.0,1712825742114
,,3.614,21.0,1712825742117
,,3.614,21.0,1712825742255
,,3.614,21.0,1712825742428
,,3.614,21.0,1712825742465
,,3.614,21.0,1712825742550
,,3.614,21.0,1712825742587
,,3.587,21.0,1712825742929
,,3.587,21.0,1712825743083
,,3.587,21.0,1712825743133
,,3.587,21.0,1712825743212
,,3.559,21.0,1712825743268
,,3.532,21.0,1712825743435
,,3.532,21.0,1712825743445
,,3.532,21.0,1712825743481
,,3.532,21.0,1712825743577
,,3.532,21.0,1712825743608
,,3.559,21.0,1712825743675
,,3.559,21.0,1712825743764
,,3.559,21.0,1712825743837
,,3.559,21.0,1712825743882
,,3.559,21.0,1712825743962
,,3.559,21.0,1712825744034
,,3.559,21.0,1712825744120
,,3.587,21.0,1712825744154
,,3.587,21.0,1712825744629
,,3.587,21.0,1712825744705
,,3.559,21.0,1712825744779
,,3.559,21.0,1712825744852
,,3.559,21.0,1712825745172
,,3.559,21.0,1712825745269
,,3.559,21.0,1712825745309
,,3.532,21.0,1712825745376
,,3.532,21.0,1712825745445
,,3.559,21.0,1712825745518
,,3.587,21.0,1712825745603
,,3.587,21.0,1712825745648
,,3.587,21.0,1712825745749
,,3.559,21.0,1712825745783
,,3.559,21.0,1712825745887
,,3.587,21.0,1712825745921
,,3.614,21.0,1712825746023
,,3.614,21.0,1712825746213
,,3.614,21.0,1712825746258
,,3.614,21.0,1712825746401
,,3.587,21.0,1712825746411
,,3.587,21.0,1712825746503
,,3.559,21.0,1712825746537
,,3.587,21.0,1712825746803
,,3.614,21.0,1712825746914
,,3.642,21.0,1712825747046
,,3.642,21.0,1712825747079
,,3.642,21.0,1712825747167
,,3.614,21.0,1712825747212
,,3.587,21.0,1712825747281
,,3.587,21.0,1712825747348
,,3.614,21.0,1712825747551
,,3.642,21.0,1712825747657
,,3.669,21.0,1712825747689
,,3.724,21.0,1712825747792
,,3.669,21.0,1712825747825
,,3.642,21.0,1712825747936
,,3.642,21.0,1712825747985
,,3.614,21.0,1712825748027
,,3.642,21.0,1712825748100
,,3.669,21.0,1712825748243
,,3.669,21.0,1712825748253
,,3.696,21.0,1712825748299
,,3.642,21.0,1712825748402
,,3.614,21.0,1712825748437
,,3.614,21.0,1712825748549
,,3.587,21.0,1712825748572
,,3.587,21.0,1712825748647
,,3.587,21.0,1712825748755
,,3.614,21.0,1712825748775
,,3.614,21.0,1712825748853
,,3.614,21.0,1712825748968
,,3.614,21.0,1712825748980
,,3.614,21.0,1712825749049
,,3.587,21.0,1712825749132
,,3.587,21.0,1712825749187
,,3.559,21.0,1712825749263
,,3.614,21.0,1712825749471
,,3.614,21.0,1712825749575
,,3.642,21.0,1712825749592
,,3.642,21.0,1712825749676
,,3.642,21.0,1712825749796
,,3.614,21.0,1712825749884
,,3.587,21.0,1712825749933
,,3.559,21.0,1712825750006
,,3.559,21.0,1712825750069
,,3.587,21.0,1712825750136
,,3.587,21.0,1712825750203
,,3.587,21.0,1712825750290
,,3.587,21.0,1712825750339
,,3.587,21.0,1712825750441
,,3.587,21.0,1712825750475
,,3.587,21.0,1712825750545
,,3.587,21.0,1712825750648
,,3.587,21.0,1712825750678
,,3.614,21.0,1712825750780
,,3.587,21.0,1712825750816
,,3.614,21.0,1712825750883
,,3.614,21.0,1712825750954
,,3.614,21.0,1712825751019
,,3.642,21.0,1712825751112
,,3.642,21.0,1712825751156
,,3.642,21.0,1712825751260
,,3.642,21.0,1712825751294
,,3.614,21.0,1712825751398
,,3.614,21.0,1712825751429
,,3.614,21.0,1712825751519
,,3.614,21.0,1712825751565
,,3.642,21.0,1712825751633
,,3.696,21.0,1712825751726
,,3.669,21.0,1712825751769
,,3.642,21.0,1712825751837
,,3.614,21.0,1712825751905
,,3.587,21.0,1712825751974
,,3.587,21.0,1712825752133
,,3.587,21.0,1712825752138
,,3.587,21.0,1712825752174
,,3.642,21.0,1712825752278
,,3.642,21.0,1712825752418
,,3.669,21.0,1712825752450
,,3.642,21.0,1712825752546
,,3.587,21.0,1712825752586
,,3.559,21.0,1712825752701
,,3.587,21.0,1712825752719
,,3.587,21.0,1712825752823
,,3.642,21.0,1712825752991
,,3.669,21.0,1712825753061
,,3.669,21.0,1712825753130
,,3.669,21.0,1712825753195
,,3.642,21.0,1712825753364
,,3.614,21.0,1712825753369
,,3.559,21.0,1712825753399
,,3.587,21.0,1712825753502
,,3.614,21.0,1712825753535
,,3.614,21.0,1712825753638
,,3.642,21.0,1712825753671
,,3.614,21.0,1712825753742
,,3.587,21.0,1712825753817
,,3.614,21.0,1712825753977
,,3.642,21.0,1712825754013
,,3.642,21.0,1712825754149
,,3.669,21.0,1712825754255
,,3.669,21.0,1712825754285
,,3.696,21.0,1712825754387
,,3.696,21.0,1712825754421
,,3.696,21.0,1712825754533
,,3.696,21.0,1712825754556
,,3.696,21.0,1712825754658
,,3.696,21.0,1712825754694
,,3.642,21.0,1712825754781
,,3.614,21.0,1712825754829
,,3.587,21.0,1712825755213
,,3.532,21.0,1712825755236
,,3.559,21.0,1712825755339
,,3.559,21.0,1712825755510
,,3.559,21.0,1712825755617
,,3.559,21.0,1712825755645
,,3.532,21.0,1712825755711
,,3.559,21.0,1712825755789
,,3.559,21.0,1712825755848
,,3.587,21.0,1712825756026
,,3.587,21.0,1712825756033
,,3.614,21.0,1712825756050
,,3.642,21.0,1712825756154
,,3.642,21.0,1712825756187
,,3.669,21.0,1712825756459
,,3.642,21.0,1712825756560
,,3.642,21.0,1712825756597
,,3.642,21.0,1712825756733
,,3.642,21.0,1712825756801
,,3.614,21.0,1712825756869
,,3.587,21.0,1712825757055
,,3.559,21.0,1712825757074
,,3.559,21.0,1712825757148
,,3.559,21.0,1712825757259
,,3.559,21.0,1712825757287
,,3.559,21.0,1712825757349
,,3.559,21.0,1712825757458
,,3.559,21.0,1712825757478
,,3.559,21.0,1712825757568
,,3.532,21.0,1712825757615
,,3.532,21.0,1712825757753
,,3.532,21.0,1712825757858
,,3.532,21.0,1712825757889
,,3.559,21.0,1712825757973
,,3.559,21.0,1712825758079
,,3.532,21.0,1712825758092
,,3.532,21.0,1712825758174
,,3.559,21.0,1712825758278
,,3.559,21.0,1712825758295
,,3.532,21.0,1712825758384
,,3.559,21.0,1712825758570
,,3.587,21.0,1712825758709
,,3.587,21.0,1712825758770
,,3.587,21.0,1712825758842
,,3.587,21.0,1712825758915
,,3.587,21.0,1712825758989
,,3.587,21.0,1712825759098
,,3.587,21.0,1712825759111
,,3.587,21.0,1712825759208
,,3.587,21.0,1712825759247
,,3.614,21.0,1712825759352
,,3.587,21.0,1712825759384
,,3.587,21.0,1712825759524
,,3.587,21.0,1712825759607
,,3.587,21.0,1712825759656
,,3.587,21.0,1712825759724
,,3.587,21.0,1712825759794
,,3.587,21.0,1712825759873
,,3.559,21.0,1712825760022
,,3.559,21.0,1712825760199
,,3.559,21.0,1712825760303
,,3.559,21.0,1712825760335
,,3.559,21.0,1712825760403
,,3.532,21.0,1712825760507
,,3.559,21.0,1712825760542
,,3.559,21.0,1712825760674
,,3.559,21.0,1712825760743
,,3.559,21.0,1712825760811
,,3.559,21.0,1712825760889
,,3.559,21.0,1712825761044
,,3.559,21.0,1712825761049
,,3.559,21.0,1712825761083
,,3.587,21.0,1712825761189
,,3.587,21.0,1712825761220
,,3.587,21.0,1712825761323
,,3.587,21.0,1712825761355
,,3.587,21.0,1712825761455
,,3.587,21.0,1712825761495
,,3.587,21.0,1712825761577
,,3.587,21.0,1712825761630
,,3.587,21.0,1712825761698
,,3.587,21.0,1712825761763
,,3.587,21.0,1712825761842
,,3.587,21.0,1712825761965
,,3.587,21.0,1712825761970
,,3.587,21.0,1712825762067
,,3.587,21.0,1712825762103
,,3.587,21.0,1712825762187
,,3.587,21.0,1712825762239
,,3.642,21.0,1712825762342
,,3.669,21.0,1712825762377
,,3.669,21.0,1712825762462
,,3.642,21.0,1712825762511
,,3.642,21.0,1712825762580
,,3.614,21.0,1712825762726
,,3.614,21.0,1712825762888
,,3.614,21.0,1712825762893
,,3.642,21.0,1712825763023
,,3.669,21.0,1712825763057
,,3.669,21.0,1712825763158
,,3.642,21.0,1712825763191
,,3.614,21.0,1712825763303
,,3.559,21.0,1712825763331
,,3.559,21.0,1712825763416
,,3.559,21.0,1712825763466
,,3.587,21.0,1712825763808
,,3.642,21.0,1712825763817
,,3.642,21.0,1712825763911
,,3.642,21.0,1712825763940
,,3.614,21.0,1712825764044
,,3.587,21.0,1712825764075
,,3.559,21.0,1712825764180
,,3.614,21.0,1712825764216
,,3.587,21.0,1712825764551
,,3.614,21.0,1712825764621
,,3.614,21.0,1712825764700
,,3.614,21.0,1712825764835
,,3.614,21.0,1712825764839
,,3.614,21.0,1712825764934
,,3.642,21.0,1712825764960
,,3.642,21.0,1712825765064
,,3.669,21.0,1712825765094
,,3.642,21.0,1712825765198
,,3.642,21.0,1712825765231
,,3.614,21.0,1712825765375
,,3.642,21.0,1712825765436
,,3.642,21.0,1712825765551
,,3.669,21.0,1712825765573
,,3.642,21.0,1712825765646
,,3.614,21.0,1712825765708
,,3.587,21.0,1712825765810
,,3.559,21.0,1712825765844
,,3.559,21.0,1712825765960
,,3.614,21.0,1712825765981
,,3.614,21.0,1712825766056
,,3.614,21.0,1712825766166
,,3.642,21.0,1712825766183
,,3.614,21.0,1712825766253
,,3.559,21.0,1712825766322
,,3.587,21.0,1712825766388
,,3.614,21.0,1712825766574
,,3.614,21.0,1712825766580
,,3.642,21.0,1712825766593
,,3.669,21.0,1712825766676
,,3.642,21.0,1712825766778
,,3.587,21.0,1712825766795
,,3.559,21.0,1712825766880
,,3.559,21.0,1712825766987
,,3.559,21.0,1712825767004
,,3.559,21.0,1712825767087
,,3.587,21.0,1712825767149
,,3.559,21.0,1712825767235
